2017-02-16T23:54:12.717070: AsyncSslTcpClient::Connect
2017-02-16T23:54:12.881587: AsyncSslTcpClient::AsyncWrite, msgId=3101
2017-02-16T23:54:12.882588: AbstractAsyncTcpClient::AsyncWrite success, msgId=3101, bytes_transferred=149
2017-02-16T23:54:12.901834: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=0, MsgType=6, msgSize=0
2017-02-16T23:54:12.945079: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3101, MsgType=3, msgSize=299
2017-02-16T23:54:12.946076: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3184, MsgType=0, msgSize=25
2017-02-16T23:54:12.946076: AsyncSslTcpClient::AsyncWrite, msgId=3187
2017-02-16T23:54:12.947077: AbstractAsyncTcpClient::AsyncWrite success, msgId=3187, bytes_transferred=64
2017-02-16T23:54:12.947077: AsyncSslTcpClient::AsyncWrite, msgId=3181
2017-02-16T23:54:12.947077: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3129, MsgType=0, msgSize=30
2017-02-16T23:54:12.947077: AbstractAsyncTcpClient::AsyncWrite success, msgId=3181, bytes_transferred=31
2017-02-16T23:54:12.947077: AsyncSslTcpClient::AsyncWrite, msgId=3164
2017-02-16T23:54:12.948075: AbstractAsyncTcpClient::AsyncWrite success, msgId=3164, bytes_transferred=21
2017-02-16T23:54:12.948075: AsyncSslTcpClient::AsyncWrite, msgId=3164
2017-02-16T23:54:12.948075: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3165, MsgType=0, msgSize=8
2017-02-16T23:54:12.948075: AbstractAsyncTcpClient::AsyncWrite success, msgId=3164, bytes_transferred=21
2017-02-16T23:54:12.948075: AsyncSslTcpClient::AsyncWrite, msgId=3164
2017-02-16T23:54:12.948075: AbstractAsyncTcpClient::AsyncWrite success, msgId=3164, bytes_transferred=21
2017-02-16T23:54:12.949075: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.949075: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.949075: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.949075: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.950076: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.950076: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.950076: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.951077: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.951077: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.951077: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.951077: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.965161: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.966173: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.966173: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.966173: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.967172: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
2017-02-16T23:54:12.967172: AbstractAsyncTcpClient::ProcessReadHeader, HostType=80, MsgId=3170, MsgType=0, msgSize=267
